"focal animal","scratch","groom","social rest","social other","submission","NN age/sex","NN dist","# within 2 m","# 2 to 5 m"
"AF",0,0,1,0,0,"AM",1,1,0
"AF",0,0,0,0,0,"0",10,0,0
"AF",0,0,0,0,0,"0",10,0,0
"AF",0,0,0,0,0,"AM",5,0,1
"AF",0,0,0,0,0,"AM",3,0,2
"AF",0,0,0,0,0,"0",10,0,0
"AF",0,0,0,0,0,"AM",4,0,2
"AF",0,0,0,0,0,"0",10,0,0
"AF",0,0,0,0,0,"J",1,1,2
"AF",0,0,0,0,0,"J",3,0,2
"AF",0,0,0,0,0,"AM",5,0,1
"AF",0,0,0,0,0,"AF",3,0,2
"AF",0,1,0,0,0,"AF",0,1,1
"AF",0,0,0,0,0,"J",4,0,1
"AF",0,0,0,0,0,"J",4,0,1
"AF",0,0,0,0,0,"J",3,0,2
"AF",0,0,0,0,0,"0",10,0,0
"AF",0,0,0,0,0,"0",10,0,0
"AF",0,0,0,0,0,"J",4,0,1
"AF",0,0,0,0,0,"0",10,0,0
"AF",1,0,1,0,0,"J",0,1,0
"AF",0,0,1,0,0,"J",0,1,0
"AF",0,0,1,0,0,"J",0,1,0
"AF",0,0,1,0,0,"J",0,1,0
"AF",1,0,1,0,0,"J",0,1,0
"AF",0,0,1,0,0,"J",0,1,0
"AF",0,0,1,0,0,"J",0,1,0
"AF",0,0,1,0,0,"J",0,1,0
"AF",0,0,1,0,0,"J",0,1,0
"AF",1,0,1,0,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",1,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,0
"AF",0,0,1,1,0,"J",0,1,1
"AF",0,0,1,1,0,"J",0,1,1
"AF",0,0,1,1,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",0,0,1,0,0,"J",0,1,1
"AF",1,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
"AF",0,0,1,0,0,"J",1,1,1
